ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_next_month
1,200000,2,2,2,71,-2,-1,1,-1,-1,-2,24715,6218,128493,41871,19471,69068,6841,1815,24510,10985,6577,23539,0
2,80000,2,2,3,49,0,-2,-1,-2,-2,0,32265,2924,12279,21389,1035,43168,11825,961,2158,8097,279,14909,0
3,300000,2,1,1,22,-1,-2,-2,0,-1,-1,6214,6898,35435,53705,80801,51520,1529,2533,16258,6557,25689,10417,0
4,120000,1,4,1,66,1,1,0,-1,2,0,41734,64737,22318,21761,38114,38724,9922,17659,9056,3878,9863,7990,1
5,20000,2,1,2,69,-2,-1,0,-2,-1,-1,4725,26,4182,8534,9701,0,1375,6,1079,3377,1668,0,0
6,500000,2,1,1,35,-2,0,-2,-1,0,0,57172,265634,52740,11277,154834,80013,20725,91842,20617,1981,56926,22790,0
7,200000,2,1,2,41,-2,-1,-2,-2,0,-1,54392,40978,5365,3294,86797,20086,22610,10709,1954,1815,15012,4092,0
8,200000,1,3,2,22,1,-1,-1,-2,1,-2,91699,10236,14745,9934,150441,30426,34429,3655,4416,3561,37951,12274,0
9,20000,2,3,2,61,0,1,0,1,-1,2,0,2228,5576,5962,2842,6979,0,260,981,881,928,1575,0
10,80000,1,2,1,60,0,0,-2,-1,-2,-2,19155,27573,2797,19246,1549,1938,2974,5905,1118,5114,560,783,0
11,80000,1,3,2,22,1,-1,1,-2,-1,-1,38660,39145,28204,3448,9279,31636,11426,7409,7271,1251,3518,7947,0
12,300000,2,1,2,56,1,3,2,1,-1,1,75643,219570,133275,114147,86931,120776,16730,42163,54092,28005,24736,30616,1
13,120000,2,3,1,42,3,4,1,0,2,0,61252,78317,38020,18859,61624,9169,9154,12556,9085,3156,13195,2284,0
14,200000,1,1,2,48,-2,-2,-2,-2,-2,-1,34427,36856,8621,20281,30351,6527,12340,11539,3326,7519,12776,1476,0
15,80000,2,2,1,32,-1,1,-1,-1,1,0,15079,35041,0,11730,18256,38595,5424,9167,0,1937,2125,8838,0
16,50000,2,1,1,62,1,-1,-1,0,1,-1,25840,16644,816,5629,17401,11956,5475,3585,223,2200,4969,2294,0
17,120000,2,4,2,41,-1,0,0,-1,-2,-1,16746,8963,21336,45958,4675,37760,6053,3353,6258,11829,1542,10770,0
18,20000,1,3,1,63,-2,-2,0,-2,2,-1,1881,3890,5290,3393,5601,0,719,1621,1397,1066,1255,0,0
19,200000,1,2,2,28,0,0,2,-1,1,1,52165,0,119924,8136,73938,39823,17033,0,13235,3182,18050,8201,0
20,120000,2,1,2,50,0,4,0,0,1,-1,17020,43305,32790,12460,63296,3913,5963,1711,11924,4078,5121,1305,0
21,200000,2,1,2,36,4,1,0,1,3,2,158681,99866,12613,53314,115970,123973,0,20073,2947,17168,23050,20696,1
22,50000,2,2,2,70,-1,-1,-2,-2,-1,-2,12188,13713,1949,27649,13650,951,3456,4507,809,11451,4597,327,0
23,500000,1,2,1,49,-2,-2,-2,-2,-2,-2,10824,13329,58695,8437,75612,11332,3656,4729,20559,3099,18622,4454,0
24,300000,1,1,1,57,0,1,2,2,1,1,86510,100528,208146,276483,26482,129113,22499,15640,49669,30156,8010,25704,0
25,200000,1,2,2,25,0,1,-1,-2,0,-1,66352,89277,33685,2418,68748,3885,13980,18428,11033,519,21162,937,1
26,50000,2,2,1,55,1,-1,-1,-2,-1,0,17510,21411,18771,1167,5458,13567,3375,7213,8033,411,2336,4448,0
27,80000,2,3,1,26,1,0,2,1,-2,1,39760,35618,54319,51570,1186,17601,11399,8662,17017,11973,322,4618,0
28,20000,1,2,1,39,-2,-1,-2,-2,-1,-2,2993,5163,0,3218,9911,11687,1157,1645,0,1286,3945,5080,0
29,20000,2,2,2,32,-1,2,0,3,-1,0,5253,14496,0,21443,5059,5917,1668,4130,0,2365,1625,1076,1
30,120000,2,2,1,21,-1,-1,0,1,-1,-1,1897,36299,19307,37462,10598,67111,445,9464,5561,6202,4209,25160,0
31,200000,2,1,1,50,1,3,-1,0,1,0,118100,82145,6035,61470,89456,64949,37055,19929,2059,16397,16115,22839,0
32,500000,1,2,2,33,0,-2,1,-1,2,0,133206,63454,214836,75599,264020,251092,45688,21745,86565,21129,49732,70523,0
33,50000,2,3,2,47,2,0,2,1,4,-1,20956,0,25709,32527,33753,2174,6265,0,4985,3918,7393,658,0
34,80000,2,1,1,59,1,1,1,2,-1,0,22723,42828,38467,24798,13960,29158,4146,5707,12582,5225,4676,7667,0
35,80000,1,2,2,30,2,1,2,0,2,1,44288,42639,30378,17806,44667,27768,22151,12969,7609,8225,14011,5013,0
36,50000,1,3,2,57,1,1,0,2,1,1,30547,17573,8695,17795,13875,26060,8021,7016,2390,3858,4332,8772,1
37,20000,2,2,1,36,-2,-2,0,0,-2,0,4205,3972,7294,6271,0,7831,1216,1051,2182,2318,0,2342,0
38,80000,1,2,1,37,-1,-2,0,-2,0,0,20304,16455,16297,23432,1214,9997,10259,4497,4880,11194,340,1452,1
39,50000,2,2,1,50,-2,-1,0,1,-2,-1,6579,12167,18676,26774,15006,8808,2696,5323,5617,6803,5098,2880,0
40,120000,2,2,1,52,1,1,1,0,2,1,7190,44376,77113,26041,89316,26329,1878,13108,21249,8411,26373,9212,1
41,80000,1,1,2,54,-2,-2,-2,-1,-2,-2,0,8227,3155,10855,11625,4369,0,2425,1146,2976,5887,1238,0
42,200000,2,3,1,30,0,0,-2,0,-1,-1,69232,62291,58705,9933,8827,57502,26487,25790,22175,1878,2499,23281,1
43,200000,2,3,2,50,-1,-2,0,-2,0,-1,73262,44094,95004,0,71494,769,24555,13809,34186,0,12661,318,0
44,50000,2,1,1,34,-1,-1,0,-2,0,-2,19863,825,15161,6670,26620,1135,3516,261,5502,3120,8391,305,0
45,200000,1,1,1,35,-2,-2,-2,-1,-2,-2,0,353,11233,3251,6684,84751,0,133,4503,923,3100,30157,0
46,200000,2,2,2,69,0,0,1,1,0,0,87002,6311,55044,37465,50494,74440,30621,2151,21122,8876,9586,16306,0
47,80000,2,2,2,26,-1,0,-2,0,0,1,29539,24690,2081,32203,37019,35336,9191,7784,677,7008,8296,13496,0
48,50000,1,2,1,42,-2,-2,0,-2,1,-1,0,1280,3927,13935,12090,1552,0,659,756,5040,3162,635,0
49,120000,1,2,1,43,-2,-1,-2,-1,-2,-2,4786,19723,4703,0,0,159,1661,8378,1683,0,0,31,1
50,20000,2,2,2,33,4,1,2,5,3,3,5011,6112,10385,11312,10150,17158,1048,2265,1629,2873,1877,1556,0
51,50000,1,2,1,61,0,1,3,2,1,-1,9222,8548,23159,33692,13070,13286,3523,1641,6476,1878,3466,5024,0
52,20000,1,1,2,45,-1,1,0,0,0,1,1667,8994,5164,4815,5424,16889,377,2436,337,1242,2215,5598,0
