account_id,month,base_prob,residual_corrected_prob,baseline_pd_threshold,inflated_review_queue,arbc_review_queue,default_next_3m,balance,utilization,payment_to_balance_ratio,bureau_stress_score
1,2025-12,0.0015204977018431,0.0015204977018431,False,False,False,0,7343.06,0.455,0.119,0.4251
2,2025-12,0.0015253348586681,0.0015253348586681,False,False,False,0,4296.34,0.3328,0.2044,0.1972
3,2025-12,0.0008459827902929,0.0008459827902929,False,False,False,0,14066.25,0.7133,0.2679,0.3745
4,2025-12,0.0015204977018431,0.0015204977018431,False,False,False,0,4193.21,0.2268,0.2224,0.1626
5,2025-12,0.9330091842247432,0.9330091842247432,True,True,True,1,808.55,0.6139,0.2531,0.3357
6,2025-12,0.0008459827902929,0.0008459827902929,False,True,False,0,34403.84,1.2949,0.233,0.7125
7,2025-12,0.0015204977018431,0.0015204977018431,False,False,False,0,7210.17,0.388,0.2797,0.2098
8,2025-12,0.0015204977018431,0.0015204977018431,False,False,False,0,7523.76,0.4688,0.369,0.2243
9,2025-12,0.0020432892204614,0.0020432892204614,True,True,True,0,2380.64,0.4919,0.3066,0.2968
10,2025-12,0.0015204977018431,0.0015204977018431,False,False,False,0,6820.97,0.85,0.2039,0.5089
11,2025-12,0.0015253348586681,0.0015253348586681,False,False,False,0,3511.55,0.5613,0.2695,0.2584
12,2025-12,0.0008459827902929,0.0008459827902929,False,False,False,0,28294.43,0.5613,0.1776,0.3964
13,2025-12,0.0015204977018431,0.0015204977018431,False,False,False,0,11483.06,0.5574,0.2481,0.3814
14,2025-12,0.0008459827902929,0.0008459827902929,False,False,False,0,6166.44,0.2779,0.3089,0.1888
15,2025-12,0.0015253348586681,0.0015253348586681,False,False,False,0,2416.32,0.6841,0.2332,0.5865
16,2025-12,0.0015253348586681,0.0015253348586681,False,False,False,0,6318.57,0.71,0.2841,0.3426
17,2025-12,0.0015204977018431,0.0015204977018431,False,False,False,0,1956.4,0.2936,0.2854,0.2566
18,2025-12,0.0020432892204614,0.0020432892204614,True,True,True,0,3010.43,0.598,0.1405,0.3467
19,2025-12,0.943524096385542,0.943524096385542,True,True,True,1,2769.84,0.5047,0.251,0.2367
20,2025-12,0.0015204977018431,0.0015204977018431,False,False,False,0,12657.03,0.5794,0.2277,0.2337
21,2025-12,0.0015204977018431,0.0015204977018431,False,False,False,0,14465.98,0.6655,0.2529,0.2727
22,2025-12,0.0015253348586681,0.0015253348586681,False,False,False,0,7912.03,0.5732,0.2866,0.5885
